OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31428,2024-060V,2026-01-27T16:24:35.294976,15.27539821,.0001106,43.0011,131.2529,264.6604,95.4122,0,U,59367,999,10379,.35355E-3,.9467E-4,0
STARLINK-31419,2024-060W,2026-01-26T17:01:28.032672,15.27595916,.00011118,42.9989,136.8375,279.7189,80.3537,0,U,59368,999,10364,-.1449164E-3,-.4249E-4,0
STARLINK-31583,2024-060X,2026-01-27T14:04:24.145248,15.27585900,.0000876,43.0002,120.9956,306.2183,53.8587,0,U,59369,999,10390,.19915E-3,.5223E-4,0
STARLINK-31461,2024-060Y,2026-01-27T14:21:03.620448,15.27575462,.000074,43.0008,121.0823,279.2145,80.8623,0,U,59370,999,10384,.93307E-5,-.5E-7,0
STARLINK-31641,2024-062A,2026-01-27T13:20:58.232256,15.30184629,.0000405,53.1603,89.5727,81.2835,278.8211,0,U,59374,999,10332,.11967E-4,-.4E-7,0
STARLINK-31430,2024-062B,2026-01-27T11:36:16.382016,15.30193322,.00011298,53.1592,89.8354,100.1712,259.9417,0,U,59375,999,10332,.35013669E-4,.678E-5,0
STARLINK-31695,2024-062C,2026-01-27T13:21:38.097216,15.30192380,.0001128,53.1601,86.7294,149.5805,210.5261,0,U,59376,999,10333,.16477E-3,.4523E-4,0
STARLINK-31716,2024-062D,2026-01-27T17:15:51.979104,15.30187608,.0001188,53.1610,37.3212,82.6934,277.4201,0,U,59377,999,10403,.41126E-4,.859E-5,0
STARLINK-31710,2024-062E,2026-01-27T10:28:38.589600,15.30198725,.0001205,53.1590,87.4042,107.3068,252.8064,0,U,59378,999,10331,.13937594E-3,.3771E-4,0
STARLINK-31698,2024-062F,2026-01-27T10:08:53.671488,15.30192628,.00011689,53.1589,87.3397,69.2408,290.8718,0,U,59379,999,10331,.515629E-4,.1168E-4,0
STARLINK-31680,2024-062G,2026-01-27T13:19:25.886208,15.30198935,.000112,53.1595,89.5639,115.2795,244.8322,0,U,59380,999,10329,.51926E-4,.1179E-4,0
STARLINK-31713,2024-062H,2026-01-27T13:01:12.489024,15.30193251,.0000962,53.1587,89.4871,107.1670,252.9436,0,U,59381,999,10329,.30624E-4,.548E-5,0
STARLINK-31705,2024-062J,2026-01-27T13:32:11.156928,15.30199281,.0001163,53.1593,86.7768,87.3437,272.7697,0,U,59382,999,10333,.37297E-4,.746E-5,0
STARLINK-31715,2024-062L,2026-01-27T11:33:49.432896,15.30189964,.00009771,53.1602,86.9759,169.8486,190.2534,0,U,59384,999,10336,.1608742E-5,-.311E-5,0
STARLINK-31717,2024-062M,2026-01-27T10:37:45.708096,15.30199116,.00007749,53.1583,87.4396,105.3546,254.7541,0,U,59385,999,10334,.16631828E-3,.457E-4,0
STARLINK-31688,2024-062N,2026-01-27T09:48:32.153472,15.30201009,.00009645,53.1588,90.0740,130.0962,230.0124,0,U,59386,999,10327,-.14707429E-4,-.795E-5,0
STARLINK-31714,2024-062P,2026-01-27T13:50:25.382688,15.30200194,.0001155,53.1603,86.8560,86.3554,273.7579,0,U,59387,999,10332,.43958E-4,.943E-5,0
STARLINK-31643,2024-062Q,2026-01-27T13:41:18.564000,15.30197065,.0001247,53.1595,86.8139,68.9709,291.1425,0,U,59388,999,10337,.11066E-3,.2919E-4,0
STARLINK-31647,2024-062R,2026-01-27T07:41:47.933952,15.30210320,.000126,53.1602,88.1358,69.4433,290.6703,0,U,59389,999,10333,.88909E-4,.2276E-4,0
STARLINK-31649,2024-062S,2026-01-27T13:26:06.854784,15.30197051,.0001225,53.1592,86.7501,78.2356,281.8782,0,U,59390,999,10337,.60062E-3,.1747E-3,0
STARLINK-31644,2024-062T,2026-01-27T12:52:05.343744,15.30195312,.000088,53.1599,89.4465,112.0222,248.0872,0,U,59391,999,10333,.10848E-4,-.38E-6,0
STARLINK-31626,2024-062U,2026-01-27T11:29:16.090080,15.30202389,.00015271,53.1606,86.9557,89.5544,270.5631,0,U,59392,999,10336,-.36890434E-4,-.1452E-4,0
STARLINK-31443,2024-062V,2026-01-27T13:45:37.761408,15.29377121,.0002108,53.1619,73.8724,100.6480,259.4757,0,U,59393,999,10355,-.10648E-2,-.30975E-3,0
STARLINK-31607,2024-062W,2026-01-27T11:38:23.231040,15.30193091,.00012792,53.1603,86.9935,73.2274,286.8867,0,U,59394,999,10335,-.1082076E-4,-.68E-5,0
STARLINK-31608,2024-062X,2026-01-27T13:54:59.204160,15.30196745,.0001223,53.1603,86.8721,78.7080,281.4058,0,U,59397,999,10332,.18372E-4,.185E-5,0
STARLINK-31534,2024-064A,2026-01-27T17:10:17.778720,15.27582255,.000146,43.0033,287.2070,281.6305,78.4383,0,U,59398,999,10290,-.16842E-4,-.726E-5,0
STARLINK-31544,2024-064B,2026-01-27T18:24:19.384128,15.27577903,.0001349,43.0041,287.5910,265.7656,94.3041,0,U,59399,999,10296,.10406E-3,.2602E-4,0
STARLINK-31545,2024-064C,2026-01-27T17:26:57.604704,15.27574956,.0001267,42.9999,287.2924,268.9728,91.0978,0,U,59400,999,10296,.11458E-3,.2892E-4,0
STARLINK-31507,2024-064D,2026-01-27T17:36:13.759776,15.27560394,.0001026,42.9986,287.3331,278.0689,82.0046,0,U,59401,999,10290,.39467E-5,-.153E-5,0
STARLINK-31543,2024-064E,2026-01-27T18:13:12.995616,15.27578787,.0001358,43.0007,287.5305,283.0042,77.0658,0,U,59402,999,10296,.38659E-4,.802E-5,0
STARLINK-31366,2024-064F,2026-01-27T10:02:06.088128,15.27553975,.00010759,43.0007,289.2685,261.3880,98.6849,0,U,59403,999,10291,-.20459561E-4,-.824E-5,0
